Id,BIRTHDATE,DEATHDATE,SSN,FIRST,LAST,MARITAL,RACE,ETHNICITY,GENDER
1d604da9-9a81-4ba9-80c2-de3375d59b40,5/25/1989,,999-76-6866,José Eduardo181,Gómez206,M,white,hispanic,M
034e9e3b-2def-4559-bb2a-7850888ae060,11/14/1983,,999-73-5361,Milo271,Feil794,M,white,nonhispanic,M
10339b10-3cd1-4ac3-ac13-ec26728cb592,6/2/1992,,999-27-3385,Jayson808,Fadel536,M,white,nonhispanic,M
8d4c4326-e9de-4f45-9a4c-f8c36bff89ae,5/27/1978,,999-85-4926,Mariana775,Rutherford999,M,white,nonhispanic,F
f5dcd418-09fe-4a2f-baa0-3da800bd8c3a,10/18/1996,,999-60-7372,Gregorio366,Auer97,,white,nonhispanic,M
72c0b9ce-7aa4-430b-aaff-bd0ce7846e55,7/27/2017,,999-68-6630,Jacinto644,Kris249,,white,nonhispanic,M
b1e9b0b9-da6e-4f68-b603-bd896a50ca86,12/13/2003,,999-73-2461,Jimmie93,Harris789,,white,nonhispanic,F
01207ecd-9dff-4754-8887-4652eda231e2,5/15/2019,,999-81-4349,Karyn217,Mueller846,,white,nonhispanic,F
b58731cc-2d8b-4c2d-b327-4cab771af3ef,5/16/1970,,999-90-2484,Isabel214,Lucio648,M,white,hispanic,F
cfee79fc-df05-476e-b274-43e09ea345db,7/4/2016,,999-15-5895,Alva958,Krajcik437,,white,nonhispanic,F
ad2e9916-4979-40fc-a8c0-68651a0cb5a6,12/19/2004,,999-78-4480,Jeffrey461,Greenfelder433,,white,nonhispanic,M
bfb6537b-535a-4f31-9a56-073220f96a17,7/3/1991,,999-74-9712,Karyn217,Jast432,M,white,nonhispanic,F
83719bd7-7a41-4c87-93f9-c5de4db6a14a,6/7/1989,,999-24-1237,Leann224,Larson43,M,white,nonhispanic,F
76982e06-f8b8-4509-9ca3-65a99c8650fe,9/1/1982,,999-21-5604,Christal240,Brown30,S,white,nonhispanic,F
2ffe9369-24e4-414b-8973-258fad09313a,7/1/1958,,999-76-2715,Amada498,Reichert620,M,white,nonhispanic,F
e4f1bd35-93ae-418b-b8cf-d39c3fbb069c,2/25/1957,,999-66-4231,Raye931,Wunsch504,S,white,nonhispanic,F
86b97fc7-ae8f-4e0d-8e66-db68f36e7a76,5/26/1959,,999-59-1261,Anissa357,Wuckert783,M,white,nonhispanic,F
1c591f0d-95b1-4289-94a9-9713ab3834e7,4/4/1954,,999-88-9161,Edmund685,Walker122,M,white,nonhispanic,M
f1678bde-4814-4d71-bca9-18fdf5282232,4/11/1958,,999-49-5916,Danae973,Bartoletti50,M,white,nonhispanic,F
aac107d8-5187-420f-a90c-448ad49dee41,9/2/1983,,999-57-9112,Lisbeth69,Hand679,M,white,nonhispanic,F
71ba0469-f0cc-4177-ac70-ea07cb01c8b8,11/21/2000,11/21/2012,999-28-2716,Carmelia328,Konopelski743,,white,nonhispanic,F
518f83f3-a717-4705-a181-06e205df480b,2/3/1999,,999-85-6755,Cythia210,Reichel38,,white,nonhispanic,F
2f43a131-a43a-4c8c-a723-cc261adb9cc6,2/23/2017,,999-40-3169,María Soledad68,Aparicio848,,white,hispanic,F
2c634692-05d8-4122-9f46-dd9402e2cfc6,12/22/1970,,999-95-4888,Margert370,Keeling57,M,white,nonhispanic,F
860aff27-7431-47ee-968e-554470683160,1/28/1986,,999-89-1141,Margurite588,Fahey393,S,native,nonhispanic,F
acb4817f-0ece-41d8-b179-82397a95a44a,9/12/1983,,999-45-5448,Frankie174,Heathcote539,M,white,nonhispanic,F
bf35e4fa-ea4f-40a4-8fe6-1f2f26e0aa45,11/21/2000,,999-87-8860,Cecila397,Feil794,,white,nonhispanic,F
c8403116-d069-4130-aa02-39954fc971b5,3/26/1967,,999-30-3779,Kim439,Ruecker817,S,white,nonhispanic,F
b1bc3c89-4e7b-41fd-a58b-9bf4ce2b40a9,7/4/1973,,999-85-9257,Louie190,Jacobi462,M,white,nonhispanic,M
50e7ede4-7ca1-4b2c-ae64-6b88b58eeaac,10/15/1965,,999-85-8713,Marvel321,Wyman904,S,white,nonhispanic,F
5a8c7f6d-b15c-4c55-b299-5bf8c2b35ad4,3/9/1993,,999-21-6421,Luciana251,Jakubowski832,M,asian,nonhispanic,F
73f124a4-e69e-4b8c-a447-e72d23dc54be,6/14/1967,,999-95-2422,Ashton21,Schmidt332,M,white,nonhispanic,F
ad7c452d-c8e9-40ae-a5ed-90b7bd93d2ac,8/3/1987,,999-47-3790,Erwin847,Weimann465,S,white,hispanic,M
5056439c-015e-4968-9281-2b8c72c3926e,8/24/1986,4/30/1991,999-39-5390,Mabel261,Larkin917,,white,nonhispanic,F
e20fb002-6dc6-4cea-ba4b-7f528ccf6572,11/30/2005,,999-75-9476,Victor265,Dickinson688,,asian,nonhispanic,M
d49f748f-928d-40e8-92c8-73e4c5679711,6/14/1967,,999-15-5162,Wesley533,Rau926,S,white,nonhispanic,M
f592e861-6e2e-46bc-a19d-5485fcbf0d80,7/19/2018,,999-65-5107,Dorothea248,Ward668,,white,nonhispanic,F
8b17ff1e-2b24-46a9-83f7-f8a49e82c604,5/20/1959,,999-59-5266,Emerson869,Hagenes547,M,white,nonhispanic,M
7723d469-7227-4b58-8f3e-b441197f4134,5/31/1994,,999-33-5858,Christene303,Brakus656,,white,nonhispanic,F
741831b4-d1a2-407b-b5d7-af61ff550867,2/22/1969,,999-12-7459,Stanford577,Goodwin327,S,white,nonhispanic,M
e3af2463-f4c9-4dbb-a8d2-d6a08c5b1460,7/2/2013,,999-82-6451,Lorrie905,Leannon79,,white,nonhispanic,F
31459cc4-45ed-4dee-b160-9f1a148a7724,8/15/1968,,999-88-9678,Carol737,Harber290,M,white,nonhispanic,M
8908602e-5f0c-4f1e-847f-75a0043eeba7,5/16/1979,,999-19-9482,Carlton317,Breitenberg711,M,white,nonhispanic,M
5be97219-ef35-4c5a-88ab-5f9a2187b7d6,8/25/1972,,999-58-9266,Cesar434,Klein929,M,white,nonhispanic,M
e05dd037-e45f-434a-946d-5c9076a2f596,8/24/1986,,999-55-3968,Jesus702,Hickle134,M,white,nonhispanic,F
ddfa05a6-b8a6-4208-b609-28f9a6a8d79e,12/27/2001,,999-83-2956,Joleen561,Quitzon246,,white,nonhispanic,F
0983e422-3b48-4f1a-936b-bee5f0eb4695,5/22/1982,,999-95-2021,Ira784,Stark857,M,white,nonhispanic,M
301ebb70-0078-4989-b5dd-d751f56c404d,4/29/2012,,999-69-6192,Richie600,Goyette777,,white,nonhispanic,M
d191448b-3fa8-47b8-9440-6b871860956c,5/21/2007,,999-36-9345,Timmy68,Macejkovic424,,white,nonhispanic,M
45c5c779-d2f9-4bf1-b6ff-deb7ff1fd54c,8/21/1981,,999-39-3928,Benedict104,Emard19,M,white,nonhispanic,M
8abe8efb-d431-4465-ad3b-7b3f301b845f,4/5/1955,,999-33-9259,Maisha241,Bartell116,M,white,nonhispanic,F
32885ae1-d031-4f52-8f91-0e5196f5462a,10/30/1978,,999-90-6743,Margarita164,Crooks415,S,white,nonhispanic,F
c563f50c-54a9-4b37-9028-bff3db7e3e27,12/14/1997,11/24/2017,999-23-1726,Reid278,Von197,,white,nonhispanic,M
f98f2905-6942-4462-9c21-25a512520d90,6/20/2015,,999-85-6809,Chung121,Heller342,,white,nonhispanic,M
